net,length_um
sha256cu.msg_scheduler.mreg_14\[13\],98.27
_04607_,97.77
_04315_,97.73
clknet_leaf_45_clk,97.71
_05038_,97.7
_05158_,97.56
sha256cu.msg_scheduler.mreg_1\[0\],97.36
net164,97.3
clknet_leaf_82_clk,97.3
clknet_leaf_10_clk,97.24
_04500_,97.2
_04832_,97.04
_01505_,97.02
_01721_,96.75
_06334_,96.64
_04301_,96.415
_04659_,96.38
_02675_,96.36
_01488_,96.34
_05278_,96.115
_04215_,95.96
_01611_,95.82
_04288_,95.72
clknet_leaf_69_clk,95.68
_04341_,95.31
clknet_leaf_12_clk,95.09
_05894_,95.05
sha256cu.counter_iteration\[6\],94.89
sha256cu.m_pad_pars.add_out3\[4\],94.66
_01964_,94.52
clknet_leaf_100_clk,94.34
_01689_,94.19
_02819_,94.09
_01511_,94.08
_05430_,94.07
net92,93.98
clknet_leaf_76_clk,93.98
clknet_leaf_63_clk,93.935
sha256cu.m_out_digest.e_in\[1\],93.88
_04999_,93.87
_01649_,93.83
_06223_,93.8
_05326_,93.78
_01661_,93.775
_04761_,93.56
sha256cu.iter_processing.w\[28\],93.42
_02029_,93.3
_05163_,93.28
_04277_,93.18
_04237_,93.04
net182,92.94
sha256cu.m_out_digest.e_in\[5\],92.9
_04815_,92.86
_04581_,92.84
net37,92.76
_02740_,92.74
_05310_,92.575
_04557_,92.54
_05229_,92.5
_04646_,92.49
_04144_,92.415
_02878_,92.2
_04123_,92.2
sha256cu.data_in_padd\[8\],92.09
_04649_,92.07
clknet_leaf_29_clk,91.855
_01696_,91.68
_05782_,91.64
sha256cu.msg_scheduler.mreg_1\[6\],91.48
_05448_,91.38
_05339_,91.36
net138,91.2
net127,91.1
_01924_,91.04
_06516_,91.03
sha256cu.m_out_digest.h_in\[26\],91
clknet_leaf_3_clk,90.98
clknet_leaf_21_clk,90.98
clknet_leaf_89_clk,90.84
_05144_,90.325
_06590_,90.3
_04121_,90.24
_06187_,90.23
clknet_leaf_5_clk,90.17
_02920_,90.04
_05129_,90.02
_04534_,90
clknet_leaf_66_clk,89.84
_05128_,89.66
_05297_,89.59
_04437_,89.48
_05165_,89.43
_03502_,89.38
sha256cu.iter_processing.w\[29\],89.38
_04328_,89.26
_04073_,89.03
_05009_,88.88
_06416_,88.86
clknet_leaf_13_clk,88.74
_04067_,88.65
sha256cu.m_out_digest.e_in\[8\],88.44
clknet_leaf_122_clk,88.44
_04045_,88.36
_01518_,88.24
clknet_leaf_51_clk,88.12
clknet_leaf_79_clk,88.12
net246,88.06
clknet_leaf_104_clk,87.88
_05296_,87.8
net130,87.8
_04250_,87.72
_04597_,87.72
_04477_,87.68
_04758_,87.64
clknet_leaf_126_clk,87.64
net98,87.46
_04160_,87.32
_02380_,87.06
_05289_,86.98
_04304_,86.94
_04792_,86.68
sha256cu.msg_scheduler.mreg_1\[25\],86.6
sha256cu.msg_scheduler.mreg_1\[27\],86.42
_04516_,86.38
_04776_,86.2
_04777_,86.16
_02565_,86.095
sha256cu.m_out_digest.e_in\[15\],86.02
clknet_leaf_85_clk,85.96
_04771_,85.92
_01950_,85.82
_04140_,85.82
_05174_,85.8
_01610_,85.78
_04331_,85.71
sha256cu.msg_scheduler.mreg_1\[1\],85.64
sha256cu.m_out_digest.e_in\[14\],85.58
_02270_,85.46
_02646_,85.12
_00020_,85.08
_04060_,84.98
_05352_,84.6
_05274_,84.52
sha256cu.m_out_digest.h_in\[29\],84.44
_05489_,84.42
_02918_,84.4
sha256cu.msg_scheduler.mreg_9\[8\],84.35
_01595_,84.33
sha256cu.m_out_digest.e_in\[16\],84.14
_04623_,84.08
sha256cu.K\[24\],83.97
_04543_,83.695
_05277_,83.68
_04570_,83.62
_04636_,83.56
sha256cu.K\[26\],83.44
_01583_,83.335
_04434_,83.305
_04050_,83.3
_02602_,83.14
_05059_,83.1
_04513_,83.04
_05362_,83
clknet_leaf_18_clk,82.92
_01655_,82.82
net157,82.82
_04451_,82.74
_04620_,82.735
_05210_,82.66
_03081_,82.64
_04503_,82.57
_02008_,82.38
_05200_,82.28
_04780_,82.27
_04228_,82.1
sha256cu.m_pad_pars.add_out3\[2\],82.01
_04077_,81.74
_05359_,81.74
_04370_,81.6
clknet_leaf_41_clk,81.56
_03045_,81.52
_05349_,81.48
_02402_,81.4
clknet_leaf_23_clk,81.28
_02766_,81.22
_03119_,81.22
_05439_,81.06
_00027_,80.725
_02776_,80.7
clknet_leaf_15_clk,80.62
_06444_,80.58
_04126_,80.52
_05463_,80.28
clknet_leaf_55_clk,80.12
clknet_leaf_112_clk,80.1
sha256cu.byte_rdy,80.09
_04530_,80.08
_06753_,80
_04666_,79.92
